mac_fill,age_score,flood_pressure
0.0,0,0
0.7,0.0,1.0
0.0,0,0
0.8,0.003,1.0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.7,0.002,1.0
0.0,0,0
0.2,0.0,1.0
0.0,0,0
0.2,0.0,1.0
0.0,0,0
0.2,0.0,1.0
0.0,0,0
0.2,0.0,1.0
0.0,0,0
1.1,0.001,1.0
0.0,0,0
0.4,0.003,1.0
0.4,0.003,0.0
0.7,0.003,0.429
0.4,0.003,0.0
0.9,0.003,0.556
0.4,0.003,0.0
0.7,0.003,0.429
0.9,0.0,0.556
1.1,0.001,0.182
0.2,0.003,0.0
0.8,0.0,0.75
0.8,0.001,0.0
1.0,0.002,0.2
1.0,0.004,0.0
1.1,0.005,0.091
1.1,0.007,0.0
1.1,0.008,0.0
1.3,0.004,0.154
1.3,0.006,0.0
1.3,0.007,0.0
1.3,0.008,0.0
1.3,0.009,0.0
1.3,0.011,0.0
1.3,0.012,0.0
1.3,0.014,0.0
1.3,0.016,0.0
1.3,0.018,0.0
1.4,0.01,0.071
1.4,0.011,0.0
1.4,0.013,0.0
1.4,0.015,0.0
1.4,0.017,0.0
1.4,0.02,0.0
1.4,0.021,0.0
1.4,0.023,0.0
1.4,0.026,0.0
1.4,0.029,0.0
1.6,0.016,0.125
1.6,0.019,0.0
1.6,0.021,0.0
1.6,0.024,0.0
1.6,0.026,0.0
1.6,0.028,0.0
1.6,0.031,0.0
1.6,0.034,0.0
1.6,0.037,0.0
1.6,0.041,0.0
1.8,0.029,0.111
1.8,0.032,0.0
1.8,0.035,0.0
1.8,0.038,0.0
1.8,0.037,0.0
1.8,0.04,0.0
1.8,0.043,0.0
1.8,0.047,0.0
1.9,0.047,0.053
1.9,0.051,0.0
2.0,0.034,0.05
2.0,0.038,0.0
2.0,0.039,0.0
2.0,0.043,0.0
2.0,0.049,0.0
2.0,0.049,0.0
2.0,0.049,0.0
2.0,0.052,0.0
2.0,0.05,0.0
2.0,0.053,0.0
2.0,0.042,0.0
2.0,0.045,0.0
2.2,0.043,0.091
2.2,0.047,0.0
2.4,0.046,0.083
2.4,0.05,0.0
2.4,0.049,0.0
2.4,0.052,0.0
2.4,0.049,0.0
2.4,0.043,0.0
2.4,0.043,0.0
2.4,0.046,0.0
2.4,0.048,0.0
2.4,0.052,0.0
2.4,0.037,0.0
2.4,0.04,0.0
2.4,0.043,0.0
2.4,0.046,0.0
2.4,0.048,0.0
2.4,0.04,0.0
2.4,0.032,0.0
2.4,0.035,0.0
2.4,0.038,0.0
2.4,0.041,0.0
2.4,0.042,0.0
2.4,0.045,0.0
2.4,0.047,0.0
2.4,0.05,0.0
2.4,0.053,0.0
2.4,0.042,0.0
2.4,0.045,0.0
2.4,0.048,0.0
2.4,0.05,0.0
2.4,0.053,0.0
2.4,0.054,0.0
2.4,0.056,0.0
2.4,0.058,0.0
2.4,0.061,0.0
2.4,0.063,0.0
2.4,0.059,0.0
2.4,0.062,0.0
2.4,0.064,0.0
2.4,0.067,0.0
2.4,0.069,0.0
2.4,0.072,0.0
2.4,0.075,0.0
2.4,0.077,0.0
2.4,0.08,0.0
2.4,0.083,0.0
2.4,0.07,0.0
2.4,0.073,0.0
2.4,0.075,0.0
2.4,0.078,0.0
2.4,0.08,0.0
2.4,0.082,0.0
2.4,0.084,0.0
2.4,0.09,0.0
2.4,0.093,0.0
2.4,0.095,0.0
2.4,0.082,0.0
2.4,0.085,0.0
2.4,0.087,0.0
2.4,0.09,0.0
2.4,0.092,0.0
2.4,0.095,0.0
2.4,0.098,0.0
2.4,0.101,0.0
2.4,0.103,0.0
2.4,0.106,0.0
2.4,0.085,0.0
2.4,0.088,0.0
2.4,0.09,0.0
2.4,0.093,0.0
2.4,0.095,0.0
2.4,0.096,0.0
2.4,0.098,0.0
2.4,0.101,0.0
2.4,0.103,0.0
2.4,0.097,0.0
2.4,0.1,0.0
2.4,0.103,0.0
2.4,0.106,0.0
2.4,0.109,0.0
2.4,0.111,0.0
2.4,0.114,0.0
2.4,0.117,0.0
2.4,0.12,0.0
2.4,0.123,0.0
2.4,0.117,0.0
2.4,0.119,0.0
2.4,0.122,0.0
2.4,0.125,0.0
2.4,0.128,0.0
2.4,0.13,0.0
2.4,0.132,0.0
2.4,0.135,0.0
2.4,0.138,0.0
2.4,0.141,0.0
2.4,0.109,0.0
2.4,0.112,0.0
2.4,0.115,0.0
2.4,0.118,0.0
2.4,0.121,0.0
2.4,0.121,0.0
2.4,0.124,0.0
2.4,0.127,0.0
2.4,0.118,0.0
2.4,0.121,0.0
2.4,0.104,0.0
2.4,0.107,0.0
2.4,0.109,0.0
2.4,0.112,0.0
2.4,0.114,0.0
2.4,0.111,0.0
2.4,0.114,0.0
2.4,0.116,0.0
2.4,0.119,0.0
2.4,0.121,0.0
2.4,0.118,0.0
2.4,0.12,0.0
2.4,0.123,0.0
2.4,0.126,0.0
2.4,0.128,0.0
2.4,0.127,0.0
2.4,0.129,0.0
2.4,0.129,0.0
2.4,0.132,0.0
2.4,0.117,0.0
2.4,0.113,0.0
2.4,0.098,0.0
2.4,0.1,0.0
2.4,0.084,0.0
2.4,0.087,0.0
2.4,0.089,0.0
2.4,0.091,0.0
2.4,0.094,0.0
2.4,0.095,0.0
2.4,0.089,0.0
2.4,0.092,0.0
2.4,0.094,0.0
2.4,0.097,0.0
2.4,0.099,0.0
2.4,0.101,0.0
2.4,0.104,0.0
2.4,0.106,0.0
2.4,0.109,0.0
2.4,0.111,0.0
2.4,0.114,0.0
2.4,0.116,0.0
2.4,0.119,0.0
2.4,0.122,0.0
2.4,0.068,0.0
2.4,0.07,0.0
2.4,0.074,0.0
2.4,0.077,0.0
2.4,0.08,0.0
2.4,0.083,0.0
2.4,0.082,0.0
2.4,0.085,0.0
2.4,0.088,0.0
2.4,0.091,0.0
2.4,0.093,0.0
2.4,0.095,0.0
2.4,0.098,0.0
2.4,0.101,0.0
2.4,0.103,0.0
2.4,0.107,0.0
2.4,0.083,0.0
2.4,0.086,0.0
2.4,0.089,0.0
2.4,0.092,0.0
2.4,0.095,0.0
2.4,0.096,0.0
2.4,0.099,0.0
2.4,0.103,0.0
2.4,0.106,0.0
2.4,0.109,0.0
2.4,0.077,0.0
2.4,0.08,0.0
2.4,0.082,0.0
2.4,0.085,0.0
2.4,0.087,0.0
2.4,0.088,0.0
2.4,0.091,0.0
2.4,0.093,0.0
2.4,0.096,0.0
2.4,0.1,0.0
2.4,0.088,0.0
2.4,0.091,0.0
2.4,0.094,0.0
2.4,0.097,0.0
2.4,0.099,0.0
2.4,0.101,0.0
2.4,0.104,0.0
2.4,0.107,0.0
2.4,0.109,0.0
2.4,0.112,0.0
2.4,0.091,0.0
2.4,0.094,0.0
2.4,0.095,0.0
2.4,0.098,0.0
2.4,0.1,0.0
2.4,0.102,0.0
2.4,0.104,0.0
2.4,0.107,0.0
2.4,0.109,0.0
2.4,0.107,0.0
2.4,0.11,0.0
2.4,0.113,0.0
2.4,0.116,0.0
2.4,0.119,0.0
2.4,0.12,0.0
2.4,0.124,0.0
2.4,0.127,0.0
2.4,0.13,0.0
2.4,0.133,0.0
2.4,0.129,0.0
2.4,0.132,0.0
2.4,0.135,0.0
2.4,0.138,0.0
2.4,0.141,0.0
2.4,0.142,0.0
2.4,0.148,0.0
2.4,0.152,0.0
2.4,0.155,0.0
2.4,0.158,0.0
2.4,0.149,0.0
2.4,0.152,0.0
2.4,0.156,0.0
2.4,0.159,0.0
2.4,0.162,0.0
2.4,0.162,0.0
2.4,0.166,0.0
2.4,0.169,0.0
2.4,0.172,0.0
2.4,0.176,0.0
2.4,0.175,0.0
2.4,0.177,0.0
2.4,0.18,0.0
2.4,0.183,0.0
2.4,0.186,0.0
2.4,0.189,0.0
2.4,0.191,0.0
2.4,0.194,0.0
2.4,0.197,0.0
2.4,0.2,0.0
2.4,0.182,0.0
2.4,0.184,0.0
2.4,0.187,0.0
2.4,0.19,0.0
2.4,0.192,0.0
2.4,0.194,0.0
2.4,0.197,0.0
2.4,0.2,0.0
2.4,0.202,0.0
2.4,0.205,0.0
2.4,0.199,0.0
2.4,0.202,0.0
2.4,0.204,0.0
2.4,0.207,0.0
2.4,0.21,0.0
2.4,0.211,0.0
2.4,0.214,0.0
2.4,0.217,0.0
2.4,0.219,0.0
2.4,0.222,0.0
2.4,0.219,0.0
2.4,0.222,0.0
2.4,0.224,0.0
2.4,0.227,0.0
2.4,0.23,0.0
2.4,0.231,0.0
2.4,0.234,0.0
2.4,0.237,0.0
2.4,0.239,0.0
2.4,0.242,0.0
2.4,0.242,0.0
2.4,0.244,0.0
2.4,0.247,0.0
2.4,0.249,0.0
2.4,0.252,0.0
2.4,0.255,0.0
2.4,0.257,0.0
2.4,0.26,0.0
2.4,0.263,0.0
2.4,0.266,0.0
2.4,0.243,0.0
2.4,0.246,0.0
2.4,0.249,0.0
2.4,0.251,0.0
2.4,0.254,0.0
2.4,0.256,0.0
2.4,0.258,0.0
2.4,0.261,0.0
2.4,0.264,0.0
2.4,0.266,0.0
2.4,0.269,0.0
2.4,0.272,0.0
2.4,0.274,0.0
2.4,0.277,0.0
2.4,0.28,0.0
2.4,0.282,0.0
2.4,0.285,0.0
2.4,0.288,0.0
2.4,0.291,0.0
2.4,0.293,0.0
2.4,0.299,0.0
2.4,0.302,0.0
2.4,0.304,0.0
2.4,0.307,0.0
2.4,0.31,0.0
2.4,0.313,0.0
2.4,0.31,0.0
2.4,0.312,0.0
2.4,0.315,0.0
2.4,0.317,0.0
2.4,0.319,0.0
2.4,0.322,0.0
2.4,0.325,0.0
2.4,0.327,0.0
2.4,0.329,0.0
2.4,0.332,0.0
2.4,0.335,0.0
2.4,0.338,0.0
2.4,0.34,0.0
2.4,0.334,0.0
2.4,0.336,0.0
2.4,0.339,0.0
2.4,0.309,0.0
2.4,0.312,0.0
2.4,0.314,0.0
2.4,0.317,0.0
2.4,0.319,0.0
2.4,0.322,0.0
2.4,0.325,0.0
2.4,0.328,0.0
2.4,0.331,0.0
2.4,0.334,0.0
2.4,0.337,0.0
2.4,0.34,0.0
2.4,0.343,0.0
2.4,0.346,0.0
2.4,0.349,0.0
2.4,0.352,0.0
2.4,0.355,0.0
2.4,0.317,0.0
2.4,0.319,0.0
2.4,0.323,0.0
2.4,0.325,0.0
2.4,0.328,0.0
2.4,0.331,0.0
2.4,0.334,0.0
2.4,0.336,0.0
2.4,0.339,0.0
2.4,0.342,0.0
2.4,0.315,0.0
2.4,0.318,0.0
2.4,0.32,0.0
2.4,0.323,0.0
2.4,0.325,0.0
2.4,0.328,0.0
2.4,0.327,0.0
2.4,0.33,0.0
2.4,0.332,0.0
2.4,0.335,0.0
2.4,0.331,0.0
2.4,0.334,0.0
2.4,0.336,0.0
2.4,0.339,0.0
2.4,0.342,0.0
2.4,0.344,0.0
2.4,0.347,0.0
2.4,0.35,0.0
2.4,0.353,0.0
2.4,0.356,0.0
2.4,0.357,0.0
2.4,0.36,0.0
2.4,0.309,0.0
2.4,0.312,0.0
2.4,0.315,0.0
2.4,0.318,0.0
2.4,0.321,0.0
2.4,0.324,0.0
2.4,0.327,0.0
2.4,0.33,0.0
2.4,0.333,0.0
2.4,0.336,0.0
2.4,0.339,0.0
2.4,0.342,0.0
2.4,0.345,0.0
2.4,0.348,0.0
2.4,0.351,0.0
2.4,0.354,0.0
2.4,0.186,0.0
2.4,0.189,0.0
2.4,0.192,0.0
2.4,0.195,0.0
2.4,0.198,0.0
2.4,0.201,0.0
2.4,0.204,0.0
2.4,0.206,0.0
2.4,0.209,0.0
2.4,0.212,0.0
2.4,0.215,0.0
2.4,0.218,0.0
2.4,0.221,0.0
2.4,0.224,0.0
2.4,0.227,0.0
2.4,0.23,0.0
2.4,0.232,0.0
2.4,0.235,0.0
2.4,0.238,0.0
2.4,0.241,0.0
2.4,0.244,0.0
2.4,0.247,0.0
2.4,0.25,0.0
2.4,0.253,0.0
2.4,0.256,0.0
2.4,0.259,0.0
2.4,0.262,0.0
2.4,0.265,0.0
2.4,0.268,0.0
2.4,0.271,0.0
2.4,0.274,0.0
2.4,0.258,0.0
2.4,0.261,0.0
2.4,0.117,0.0
2.4,0.12,0.0
2.4,0.123,0.0
2.4,0.125,0.0
2.4,0.128,0.0
2.4,0.131,0.0
2.4,0.134,0.0
2.4,0.137,0.0
2.4,0.131,0.0
2.4,0.134,0.0
2.4,0.136,0.0
2.4,0.139,0.0
2.4,0.142,0.0
2.4,0.143,0.0
2.4,0.146,0.0
2.4,0.149,0.0
2.4,0.152,0.0
2.4,0.155,0.0
2.4,0.158,0.0
2.4,0.161,0.0
2.4,0.163,0.0
2.4,0.166,0.0
2.4,0.169,0.0
2.4,0.172,0.0
2.4,0.175,0.0
2.4,0.178,0.0
2.4,0.181,0.0
2.4,0.184,0.0
2.4,0.182,0.0
2.4,0.185,0.0
2.4,0.188,0.0
2.4,0.191,0.0
2.4,0.193,0.0
2.4,0.196,0.0
2.4,0.199,0.0
2.4,0.202,0.0
2.4,0.205,0.0
2.3,0.174,0.0
2.3,0.177,0.0
2.3,0.18,0.0
2.3,0.183,0.0
2.3,0.186,0.0
2.3,0.189,0.0
2.3,0.192,0.0
2.3,0.195,0.0
2.3,0.198,0.0
2.3,0.201,0.0
2.3,0.204,0.0
2.4,0.193,0.042
2.4,0.197,0.0
2.4,0.2,0.0
2.4,0.203,0.0
2.4,0.206,0.0
2.4,0.208,0.0
2.4,0.214,0.0
2.4,0.217,0.0
2.4,0.221,0.0
2.4,0.224,0.0
2.4,0.223,0.0
2.4,0.226,0.0
2.4,0.229,0.0
2.4,0.232,0.0
2.4,0.235,0.0
2.4,0.238,0.0
2.4,0.241,0.0
2.4,0.243,0.0
2.4,0.246,0.0
2.4,0.249,0.0
2.4,0.252,0.0
2.4,0.255,0.0
2.4,0.258,0.0
2.4,0.261,0.0
2.4,0.264,0.0
2.4,0.267,0.0
2.4,0.27,0.0
2.4,0.273,0.0
2.4,0.276,0.0
2.4,0.272,0.0
2.4,0.275,0.0
2.4,0.278,0.0
2.4,0.281,0.0
2.4,0.284,0.0
2.4,0.286,0.0
2.4,0.289,0.0
2.4,0.292,0.0
2.4,0.295,0.0
2.4,0.298,0.0
2.4,0.301,0.0
2.4,0.303,0.0
2.4,0.306,0.0
2.4,0.309,0.0
2.4,0.312,0.0
2.4,0.315,0.0
2.4,0.318,0.0
2.4,0.321,0.0
2.4,0.324,0.0
2.4,0.327,0.0
2.4,0.296,0.0
2.4,0.298,0.0
2.4,0.301,0.0
2.4,0.304,0.0
2.4,0.307,0.0
2.4,0.309,0.0
2.4,0.312,0.0
2.4,0.315,0.0
2.4,0.318,0.0
2.4,0.321,0.0
2.4,0.32,0.0
2.4,0.323,0.0
2.4,0.325,0.0
2.4,0.328,0.0
2.4,0.33,0.0
2.4,0.333,0.0
2.4,0.336,0.0
2.4,0.339,0.0
2.4,0.342,0.0
2.4,0.345,0.0
2.4,0.331,0.0
2.4,0.334,0.0
2.4,0.337,0.0
2.4,0.34,0.0
2.4,0.342,0.0
2.4,0.345,0.0
2.4,0.348,0.0
2.4,0.351,0.0
2.4,0.353,0.0
2.4,0.356,0.0
2.4,0.357,0.0
2.4,0.36,0.0
2.4,0.362,0.0
2.4,0.365,0.0
2.4,0.367,0.0
2.4,0.37,0.0
2.4,0.373,0.0
2.4,0.376,0.0
2.4,0.379,0.0
2.4,0.382,0.0
2.4,0.362,0.0
2.4,0.365,0.0
2.4,0.367,0.0
2.4,0.37,0.0
2.4,0.376,0.0
2.4,0.378,0.0
2.4,0.381,0.0
2.4,0.384,0.0
2.4,0.386,0.0
2.4,0.389,0.0
2.4,0.369,0.0
2.4,0.372,0.0
2.4,0.374,0.0
2.4,0.376,0.0
2.4,0.379,0.0
2.4,0.382,0.0
2.4,0.384,0.0
2.4,0.387,0.0
2.4,0.39,0.0
2.4,0.393,0.0
2.4,0.396,0.0
2.4,0.399,0.0
2.4,0.402,0.0
2.4,0.405,0.0
2.4,0.407,0.0
2.4,0.41,0.0
2.4,0.413,0.0
2.4,0.416,0.0
2.4,0.419,0.0
2.4,0.396,0.0
2.4,0.399,0.0
2.4,0.402,0.0
2.4,0.404,0.0
2.4,0.407,0.0
2.4,0.409,0.0
2.4,0.412,0.0
2.4,0.415,0.0
2.4,0.417,0.0
2.4,0.42,0.0
2.4,0.405,0.0
2.4,0.408,0.0
2.4,0.411,0.0
2.4,0.413,0.0
2.4,0.416,0.0
2.4,0.418,0.0
2.4,0.421,0.0
2.4,0.424,0.0
2.4,0.427,0.0
2.4,0.43,0.0
2.4,0.433,0.0
2.4,0.436,0.0
2.4,0.439,0.0
2.4,0.445,0.0
2.4,0.448,0.0
2.4,0.451,0.0
2.4,0.453,0.0
2.4,0.456,0.0
2.4,0.459,0.0
2.4,0.462,0.0
2.4,0.376,0.0
2.4,0.379,0.0
2.3,0.354,0.0
2.3,0.357,0.0
2.3,0.36,0.0
2.3,0.362,0.0
2.3,0.365,0.0
2.3,0.368,0.0
2.3,0.371,0.0
2.3,0.374,0.0
2.3,0.318,0.0
2.3,0.321,0.0
2.3,0.324,0.0
2.3,0.327,0.0
2.3,0.33,0.0
2.3,0.331,0.0
2.3,0.334,0.0
2.3,0.337,0.0
2.2,0.31,0.0
2.2,0.312,0.0
2.2,0.309,0.0
2.2,0.312,0.0
2.2,0.315,0.0
2.2,0.317,0.0
2.2,0.32,0.0
2.2,0.322,0.0
2.2,0.324,0.0
2.2,0.327,0.0
2.2,0.33,0.0
2.2,0.314,0.0
2.2,0.317,0.0
2.2,0.32,0.0
2.2,0.322,0.0
2.2,0.325,0.0
2.2,0.326,0.0
2.2,0.328,0.0
2.2,0.331,0.0
2.2,0.333,0.0
2.2,0.336,0.0
2.3,0.313,0.043
2.3,0.316,0.0
2.3,0.318,0.0
2.3,0.32,0.0
2.3,0.323,0.0
2.3,0.324,0.0
2.3,0.326,0.0
2.3,0.329,0.0
2.3,0.332,0.0
2.3,0.334,0.0
2.3,0.329,0.0
2.3,0.331,0.0
2.2,0.304,0.0
2.2,0.306,0.0
2.2,0.309,0.0
2.2,0.31,0.0
2.2,0.312,0.0
2.2,0.315,0.0
2.2,0.318,0.0
2.2,0.32,0.0
2.2,0.326,0.0
2.2,0.328,0.0
2.2,0.331,0.0
2.2,0.333,0.0
2.2,0.336,0.0
2.2,0.339,0.0
1.9,0.237,0.0
1.9,0.24,0.0
1.9,0.242,0.0
1.9,0.245,0.0
1.9,0.241,0.0
1.9,0.244,0.0
1.9,0.246,0.0
1.8,0.208,0.0
1.8,0.21,0.0
1.8,0.212,0.0
1.8,0.214,0.0
1.8,0.217,0.0
1.8,0.219,0.0
1.8,0.222,0.0
1.8,0.182,0.0
1.8,0.184,0.0
1.8,0.186,0.0
1.8,0.188,0.0
1.8,0.191,0.0
1.8,0.192,0.0
1.8,0.194,0.0
1.8,0.196,0.0
1.8,0.199,0.0
1.8,0.201,0.0
1.8,0.176,0.0
1.8,0.178,0.0
1.8,0.181,0.0
1.8,0.182,0.0
1.8,0.185,0.0
1.8,0.186,0.0
1.8,0.188,0.0
1.8,0.19,0.0
1.7,0.145,0.0
1.7,0.139,0.0
1.7,0.141,0.0
1.7,0.143,0.0
1.7,0.145,0.0
1.7,0.147,0.0
1.7,0.149,0.0
1.7,0.151,0.0
1.7,0.153,0.0
1.7,0.155,0.0
1.7,0.157,0.0
1.7,0.14,0.0
1.7,0.132,0.0
1.7,0.134,0.0
1.7,0.136,0.0
1.7,0.137,0.0
1.7,0.14,0.0
1.7,0.141,0.0
1.7,0.144,0.0
1.7,0.145,0.0
1.7,0.148,0.0
1.7,0.149,0.0
1.7,0.151,0.0
1.7,0.153,0.0
1.7,0.155,0.0
1.7,0.157,0.0
1.7,0.16,0.0
1.7,0.161,0.0
1.7,0.163,0.0
1.7,0.165,0.0
1.7,0.167,0.0
1.7,0.169,0.0
1.7,0.17,0.0
1.7,0.172,0.0
1.7,0.174,0.0
1.7,0.176,0.0
1.7,0.178,0.0
1.7,0.18,0.0
1.7,0.182,0.0
1.7,0.184,0.0
1.7,0.186,0.0
1.7,0.182,0.0
1.7,0.184,0.0
1.7,0.186,0.0
1.7,0.188,0.0
1.7,0.19,0.0
1.7,0.192,0.0
1.7,0.195,0.0
1.6,0.146,0.0
1.6,0.148,0.0
1.6,0.15,0.0
1.6,0.135,0.0
1.6,0.137,0.0
1.6,0.139,0.0
1.6,0.141,0.0
1.6,0.143,0.0
1.6,0.145,0.0
1.6,0.147,0.0
1.6,0.15,0.0
1.6,0.152,0.0
1.6,0.154,0.0
1.6,0.075,0.0
1.6,0.076,0.0
1.6,0.078,0.0
1.6,0.08,0.0
1.6,0.082,0.0
1.6,0.083,0.0
1.6,0.085,0.0
1.6,0.087,0.0
1.6,0.089,0.0
1.6,0.091,0.0
1.6,0.084,0.0
1.6,0.086,0.0
1.6,0.087,0.0
1.6,0.089,0.0
1.6,0.091,0.0
1.6,0.071,0.0
1.6,0.073,0.0
1.6,0.075,0.0
1.6,0.077,0.0
1.6,0.079,0.0
1.8,0.054,0.111
1.8,0.055,0.0
1.8,0.057,0.0
1.8,0.059,0.0
1.8,0.06,0.0
1.8,0.061,0.0
1.8,0.063,0.0
1.8,0.064,0.0
1.8,0.066,0.0
1.8,0.035,0.0
1.8,0.037,0.0
1.9,0.036,0.053
1.9,0.038,0.0
1.9,0.039,0.0
1.9,0.041,0.0
1.9,0.042,0.0
1.9,0.045,0.0
1.9,0.046,0.0
1.9,0.048,0.0
1.9,0.048,0.0
1.9,0.05,0.0
1.9,0.052,0.0
1.9,0.057,0.0
1.9,0.059,0.0
1.9,0.061,0.0
1.9,0.063,0.0
1.9,0.065,0.0
1.9,0.067,0.0
1.9,0.068,0.0
1.9,0.067,0.0
1.9,0.069,0.0
1.9,0.071,0.0
1.9,0.073,0.0
1.9,0.074,0.0
1.9,0.076,0.0
1.9,0.079,0.0
1.9,0.08,0.0
1.9,0.082,0.0
1.9,0.084,0.0
1.9,0.086,0.0
1.9,0.088,0.0
1.9,0.09,0.0
1.9,0.092,0.0
1.9,0.094,0.0
1.9,0.095,0.0
1.9,0.098,0.0
1.9,0.1,0.0
1.9,0.102,0.0
1.9,0.102,0.0
1.9,0.095,0.0
1.9,0.096,0.0
1.9,0.098,0.0
1.9,0.1,0.0
1.9,0.101,0.0
1.9,0.103,0.0
1.9,0.105,0.0
1.9,0.107,0.0
1.9,0.109,0.0
1.9,0.111,0.0
1.9,0.113,0.0
1.9,0.115,0.0
1.9,0.116,0.0
1.9,0.119,0.0
1.9,0.12,0.0
1.9,0.122,0.0
1.9,0.124,0.0
1.9,0.126,0.0
1.9,0.128,0.0
1.9,0.13,0.0
1.9,0.132,0.0
1.9,0.134,0.0
1.9,0.136,0.0
1.9,0.138,0.0
1.9,0.14,0.0
1.9,0.142,0.0
1.9,0.144,0.0
2.0,0.138,0.05
2.0,0.14,0.0
2.0,0.142,0.0
2.0,0.144,0.0
2.0,0.146,0.0
2.0,0.148,0.0
2.0,0.15,0.0
2.0,0.152,0.0
2.0,0.154,0.0
2.0,0.156,0.0
2.0,0.158,0.0
2.0,0.16,0.0
2.0,0.166,0.0
2.0,0.168,0.0
2.0,0.17,0.0
2.0,0.172,0.0
2.0,0.13,0.0
2.0,0.132,0.0
2.0,0.134,0.0
2.0,0.136,0.0
2.0,0.138,0.0
2.0,0.139,0.0
2.0,0.142,0.0
2.0,0.144,0.0
2.0,0.146,0.0
2.0,0.148,0.0
2.0,0.15,0.0
2.0,0.152,0.0
2.0,0.154,0.0
2.0,0.156,0.0
2.0,0.158,0.0
2.0,0.16,0.0
2.1,0.155,0.048
2.1,0.156,0.0
2.1,0.159,0.0
